Phrase,Frequency
de Havilland Canada DHC-6 Twin Otter 300,16
Let 410UVP,7
Antonov An-26,6
Learjet 35A,6
Antonov AN-26,6
Cessna 208B Grand Caravan,6
Let 410UVP-E,5
Antonov AN-28,5
Lockheed C-130 Hercules,4
de Havilland Canada DHC-6 Twin Otter,4
Fokker 100,4
Tupolev Tu-154M,4
de Havilland DHC-6 Twin Otter 300,4
McDonnell Douglas MD-82,4
Mil Mi-8,4
Antonov 12,4
Mi-8,4
Antonov An-12,4
McDonnell Douglas MD-83,3
Yakovlev YAK-40,3
Beechcraft 1900C-1,3
Lockheed C-130H Hercules,3
Mil Mi-17,3
Tupolev 154M,3
Fokker F-27 Friendship 400M,3
Bell 206L,3
Antonov AN-12,3
Antonov 12BP,3
Antonov AN-2,3
Mi-8 helicopter,3
Embraer 120ER Brasilia,3
Fokker 50,3
Cessna 208B Caravan I Super Cargomaster,3
Ilyushin II-76TD,3
Beechcraft 1900D,3
Bell 407,3
Convair CV-580,3
Douglas DC-3C,3
Antonov AN-12BP,3
Antonov An-32,3
Antonov An-12BK,3
Antonov AN-32,2
Grumman G-159 Gulfstream I,2
Sikorsky S-76,2
Canadair CL-600-2B16 Challenger 604,2
Harbin Yunshuji Y-12-II,2
Swearingen SA.226TC Metro II,2
Learjet 25,2
LET 410UVP,2
Learjet 25B,2
Boeing B-737-3Q8,2
Swearingen SA.227AC Metro III,2
Mi-17,2
Lockheed MC-130H Hercules,2
ATR 42-300,2
Britten-Norman BN-2A-26 Islander,2
Fokker F-27 Friendship 200,2
Yakovlev 42D,2
EMB 721C Sertanejo,2
Piper PA-31-350 Navajo Chieftain,2
Canadair CRJ-100ER,2
Bell 206B,2
de Havilland DHC-3 Otter,2
Beechcraft 1900C,2
Tupolev 154B-2,2
Embraer EMB-110 Bandeirante,2
Boeing B-737-200,2
CASA 212 Aviocar,2
de Havilland Canada DHC-6 Twin Otter 100,2
Antonov AN-24B,2
Sikorsky S-76C,2
Antonov 26B,2
Antonov 12V,2
Antonov AN-24V,2
Airbus A320-211,2
Canadair CRJ-200ER,2
Airbus A-320-233,2
de Havilland Canada DHC-2 Beaver,2
Antonov An-28,2
Mil Mi-8T,2
Antonov 12BK,2
Grumman G-21A Goose,2
Bell 212,2
Airbus A320-232,2
Airbus A320-214,2
Antonov An-12BP,2
Boeing 737-8HG,2
Airbus A321-231,2
Convair CV-340,2
Britten Norman BN-2A-27 Islander,2
Let L-410UVP-E20,2
AC Type,1
Embraer 110P1A Bandeirante,1
