Aboard,Fatalities,DeathRate
16.0,1.0,0.0625
10.0,10.0,1.0
41.0,22.0,0.5365853658536586
20.0,5.0,0.25
179.0,169.0,0.9441340782122905
88.0,88.0,1.0
8.0,8.0,1.0
3.0,3.0,1.0
142.0,0.0,0.0
9.0,9.0,1.0
10.0,10.0,1.0
2.0,2.0,1.0
7.0,7.0,1.0
8.0,6.0,0.75
33.0,3.0,0.09090909090909091
40.0,40.0,1.0
3.0,3.0,1.0
131.0,131.0,1.0
24.0,24.0,1.0
4.0,4.0,1.0
5.0,2.0,0.4
1.0,1.0,1.0
6.0,6.0,1.0
10.0,3.0,0.3
19.0,19.0,1.0
298.0,1.0,0.003355704697986577
8.0,8.0,1.0
52.0,7.0,0.1346153846153846
44.0,44.0,1.0
3.0,3.0,1.0
5.0,5.0,1.0
15.0,14.0,0.9333333333333333
19.0,19.0,1.0
19.0,13.0,0.6842105263157895
3.0,1.0,0.3333333333333333
58.0,55.0,0.9482758620689655
2.0,2.0,1.0
2.0,2.0,1.0
7.0,7.0,1.0
109.0,109.0,1.0
13.0,13.0,1.0
25.0,25.0,1.0
6.0,6.0,1.0
14.0,14.0,1.0
11.0,11.0,1.0
27.0,27.0,1.0
143.0,143.0,1.0
7.0,7.0,1.0
8.0,8.0,1.0
14.0,14.0,1.0
88.0,0.0,0.0
3.0,3.0,1.0
3.0,2.0,0.6666666666666666
3.0,3.0,1.0
17.0,8.0,0.47058823529411764
86.0,86.0,1.0
179.0,83.0,0.46368715083798884
44.0,44.0,1.0
11.0,2.0,0.18181818181818182
1.0,1.0,1.0
57.0,57.0,1.0
114.0,1.0,0.008771929824561403
6.0,6.0,1.0
16.0,16.0,1.0
9.0,9.0,1.0
2.0,2.0,1.0
24.0,24.0,1.0
10.0,10.0,1.0
6.0,3.0,0.5
3.0,3.0,1.0
6.0,2.0,0.3333333333333333
10.0,10.0,1.0
2.0,2.0,1.0
21.0,21.0,1.0
5.0,1.0,0.2
174.0,3.0,0.017241379310344827
19.0,19.0,1.0
3.0,3.0,1.0
18.0,18.0,1.0
30.0,14.0,0.4666666666666667
16.0,16.0,1.0
10.0,10.0,1.0
34.0,34.0,1.0
30.0,30.0,1.0
5.0,5.0,1.0
7.0,7.0,1.0
19.0,1.0,0.05263157894736842
145.0,145.0,1.0
12.0,8.0,0.6666666666666666
13.0,13.0,1.0
10.0,10.0,1.0
3.0,3.0,1.0
7.0,6.0,0.8571428571428571
11.0,4.0,0.36363636363636365
2.0,2.0,1.0
304.0,0.0,0.0
47.0,4.0,0.0851063829787234
64.0,64.0,1.0
92.0,92.0,1.0
65.0,65.0,1.0
44.0,44.0,1.0
19.0,19.0,1.0
82.0,1.0,0.012195121951219513
13.0,9.0,0.6923076923076923
78.0,78.0,1.0
7.0,3.0,0.42857142857142855
114.0,114.0,1.0
10.0,10.0,1.0
10.0,10.0,1.0
3.0,2.0,0.6666666666666666
5.0,3.0,0.6
260.0,260.0,1.0
27.0,27.0,1.0
2.0,2.0,1.0
17.0,2.0,0.11764705882352941
33.0,24.0,0.7272727272727273
13.0,1.0,0.07692307692307693
18.0,18.0,1.0
6.0,6.0,1.0
16.0,16.0,1.0
9.0,8.0,0.8888888888888888
5.0,5.0,1.0
7.0,7.0,1.0
3.0,3.0,1.0
17.0,5.0,0.29411764705882354
62.0,1.0,0.016129032258064516
26.0,26.0,1.0
40.0,5.0,0.125
92.0,92.0,1.0
117.0,117.0,1.0
10.0,1.0,0.1
20.0,17.0,0.85
10.0,10.0,1.0
3.0,3.0,1.0
17.0,17.0,1.0
4.0,4.0,1.0
2.0,2.0,1.0
166.0,128.0,0.7710843373493976
8.0,3.0,0.375
20.0,8.0,0.4
77.0,74.0,0.961038961038961
62.0,14.0,0.22580645161290322
112.0,112.0,1.0
5.0,5.0,1.0
225.0,225.0,1.0
6.0,6.0,1.0
3.0,3.0,1.0
25.0,20.0,0.8
10.0,3.0,0.3
71.0,71.0,1.0
27.0,27.0,1.0
10.0,10.0,1.0
11.0,11.0,1.0
4.0,4.0,1.0
2.0,0.0,0.0
16.0,14.0,0.875
10.0,10.0,1.0
5.0,5.0,1.0
147.0,121.0,0.8231292517006803
18.0,18.0,1.0
16.0,16.0,1.0
31.0,23.0,0.7419354838709677
2.0,2.0,1.0
4.0,3.0,0.75
12.0,12.0,1.0
22.0,20.0,0.9090909090909091
10.0,7.0,0.7
2.0,2.0,1.0
34.0,19.0,0.5588235294117647
20.0,1.0,0.05
8.0,8.0,1.0
1.0,1.0,1.0
2.0,2.0,1.0
44.0,44.0,1.0
16.0,3.0,0.1875
16.0,1.0,0.0625
21.0,21.0,1.0
80.0,75.0,0.9375
46.0,46.0,1.0
7.0,7.0,1.0
13.0,3.0,0.23076923076923078
6.0,6.0,1.0
8.0,8.0,1.0
3.0,2.0,0.6666666666666666
7.0,3.0,0.42857142857142855
275.0,275.0,1.0
17.0,17.0,1.0
25.0,11.0,0.44
103.0,102.0,0.9902912621359223
16.0,4.0,0.25
3.0,3.0,1.0
200.0,129.0,0.645
75.0,75.0,1.0
4.0,4.0,1.0
2.0,2.0,1.0
5.0,5.0,1.0
10.0,8.0,0.8
4.0,4.0,1.0
4.0,4.0,1.0
24.0,1.0,0.041666666666666664
7.0,7.0,1.0
3.0,3.0,1.0
4.0,4.0,1.0
4.0,4.0,1.0
4.0,4.0,1.0
5.0,5.0,1.0
117.0,117.0,1.0
10.0,2.0,0.2
10.0,4.0,0.4
14.0,14.0,1.0
5.0,5.0,1.0
2.0,2.0,1.0
16.0,1.0,0.0625
2.0,2.0,1.0
20.0,20.0,1.0
21.0,21.0,1.0
2.0,2.0,1.0
8.0,8.0,1.0
2.0,1.0,0.5
6.0,6.0,1.0
7.0,7.0,1.0
3.0,3.0,1.0
2.0,2.0,1.0
4.0,4.0,1.0
2.0,1.0,0.5
5.0,5.0,1.0
3.0,3.0,1.0
1.0,1.0,1.0
36.0,15.0,0.4166666666666667
4.0,4.0,1.0
7.0,2.0,0.2857142857142857
22.0,17.0,0.7727272727272727
1.0,1.0,1.0
24.0,20.0,0.8333333333333334
3.0,2.0,0.6666666666666666
3.0,3.0,1.0
2.0,2.0,1.0
161.0,140.0,0.8695652173913043
148.0,148.0,1.0
37.0,37.0,1.0
9.0,9.0,1.0
46.0,43.0,0.9347826086956522
7.0,3.0,0.42857142857142855
5.0,5.0,1.0
5.0,4.0,0.8
7.0,7.0,1.0
7.0,3.0,0.42857142857142855
10.0,6.0,0.6
7.0,7.0,1.0
33.0,33.0,1.0
7.0,7.0,1.0
12.0,1.0,0.08333333333333333
2.0,2.0,1.0
3.0,3.0,1.0
30.0,19.0,0.6333333333333333
