Keyword,Frequency
plane,704
crashed,619
aircraft,427
airport,305
runway,301
crew,296
flight,291
pilot,285
approach,190
failure,176
accident,176
engine,173
landing,162
land,150
taking,148
cargo,145
helicopter,133
miles,129
control,125
weather,122
altitude,120
attempting,117
lost,106
two,105
ground,102
conditions,98
minutes,95
fire,95
pilots,92
killed,91
terrain,91
feet,89
area,89
air,88
one,83
shortly,82
left,80
poor,79
reported,79
airplane,78
route,76
takeoff,74
emergency,72
time,69
due,69
flying,69
right,67
struck,67
en,65
short,64
captain,63
failed,63
mountain,63
fuel,63
heavy,62
passengers,61
low,61
caused,60
loss,59
flames,59
near,58
carrying,58
system,57
contributing,57
field,56
military,55
crash,54
fog,53
passenger,52
contact,52
speed,51
sea,51
broke,51
hit,51
rain,49
three,49
resulted,47
descent,46
procedures,46
2,46
